,material_id,nsites,nelements,chemsys,band_gap,spacegroup.crystal_system,spacegroup.number,spacegroup.point_group
0,mp-1025377,7,3,Ag-Cd-I,2.0050000000000003,tetragonal,121,-42m
1,mp-1068559,5,3,Co-La-Si,0.0,tetragonal,107,4mm
2,mp-1079802,8,3,Ge-Ni-Y,0.0,orthorhombic,63,mmm
3,mp-1103353,12,3,Ga-Pt-Y,0.0,orthorhombic,62,mmm
4,mp-1103785,14,2,Al-Pr,0.0,orthorhombic,71,mmm
5,mp-11114,16,4,Cu-K-Pd-Se,1.0364,monoclinic,11,2/m
6,mp-11525,8,2,Ni-Tm,0.0,orthorhombic,62,mmm
7,mp-11755,9,3,Lu-Mo-Sb,0.0,hexagonal,189,-6m2
8,mp-1188677,16,3,Ge-Pt-Yb,0.0,orthorhombic,71,mmm
9,mp-1189258,17,3,I-Pt-Y,0.7681000000000004,triclinic,2,-1
10,mp-1189639,20,3,Ni-Sn-Th,0.0,cubic,220,-43m
11,mp-1189871,18,3,N-Sn-Zr,0.0,hexagonal,193,6/mmm
12,mp-1192364,30,4,F-Hg-O-Te,2.4806,monoclinic,15,2/m
13,mp-1192415,28,3,S-Tm-Yb,1.4918000000000005,orthorhombic,62,mmm
14,mp-1192640,29,4,Na-Nb-O-Se,2.4028,triclinic,2,-1
15,mp-1195999,48,4,Cd-Cs-O-P,3.3539,orthorhombic,62,mmm
16,mp-1196390,112,4,Cu-F-Sb-Xe,0.5704000000000002,monoclinic,14,2/m
17,mp-1196892,44,4,Er-O-P-Rb,5.060300000000001,monoclinic,14,2/m
18,mp-1197850,36,3,Fe-P-Yb,0.0,orthorhombic,62,mmm
19,mp-1199385,78,3,Er-In-Ni,0.0,tetragonal,129,4/mmm
20,mp-1199741,138,5,O-P-Pb-Te-Zn,3.1622000000000003,monoclinic,3,2
21,mp-1201758,32,2,Ge-K,1.3282999999999998,tetragonal,142,4/mmm
22,mp-1203699,36,3,I-O-Rb,1.3485999999999998,orthorhombic,52,mmm
23,mp-1205197,40,2,Dy-Ga,0.0,tetragonal,140,4/mmm
24,mp-13798,10,4,F-K-Na-Tl,3.6375,cubic,225,m-3m
25,mp-14206,8,3,Ag-As-K,1.2928,trigonal,166,-3m
26,mp-1490,20,2,Al-Au,0.0,cubic,198,23
27,mp-14972,96,4,B-Ba-O-Sc,3.4741999999999997,hexagonal,185,6mm
28,mp-14973,76,4,Ag-Mo-O-P,2.112,monoclinic,14,2/m
29,mp-15788,4,3,Li-S-Y,2.0688000000000004,trigonal,166,-3m
30,mp-17771,40,4,As-Mg-Na-O,3.2138999999999998,tetragonal,122,-42m
31,mp-1934,4,2,Li-Zn,0.0,cubic,227,m-3m
32,mp-19873,12,3,Dy-Ru-Si,0.0,orthorhombic,62,mmm
33,mp-2079,10,2,P-Rb,1.0654,orthorhombic,69,mmm
34,mp-21001,5,3,Ge-Ru-Y,0.0,tetragonal,139,4/mmm
35,mp-22505,6,3,Al-Gd-Pd,0.0,hexagonal,191,6/mmm
36,mp-23208,8,2,Cl-U,0.0,hexagonal,176,6/m
37,mp-23434,22,3,Al-Cl-Cu,0.5594,monoclinic,14,2/m
38,mp-23701,56,4,B-Ca-H-O,5.5185,monoclinic,4,2
39,mp-24291,3,2,H-Th,0.0,tetragonal,139,4/mmm
40,mp-27209,36,3,F-K-Tl,2.3213,trigonal,144,3
41,mp-27638,3,2,I-Ni,0.0,trigonal,166,-3m
42,mp-28192,28,3,Au-Cl-S,1.7882000000000002,monoclinic,14,2/m
43,mp-28501,28,3,Cl-K-Nb,1.094,monoclinic,12,2/m
44,mp-28626,12,3,La-O-S,1.5237999999999996,orthorhombic,64,mmm
